image_id,bridge_index,reference_supported,curve_nodes,euclidean_gap,mean_q,min_q,total_cost,confidence_cost,length_cost,direction_cost,width_cost,connectivity_gain,used_by_successful_paths,used_by_any_path
10378780_15,0,1,3,2.8284271247461903,0.32633815209070843,0.3101564347743988,1.3827163338579185,1.1126224994659424,0.0282842712474619,1.0580373291613523,0.1837722339831621,-1.0,0,0
10378780_15,1,1,9,7.0710678118654755,0.24150483806928,0.21750569343566895,0.4700464653586014,1.3862454891204834,0.07071067811865475,0.013090298119463106,0.0,-1.0,0,0
10378780_15,2,1,13,9.433981132056603,0.23638073985393232,0.16610193252563477,0.7077050101285991,1.4944748878479004,0.09433981132056603,0.014175018481180135,0.10471529247895259,-1.0,0,0
10378780_15,3,1,14,11.704699910719626,0.24412103103739874,0.2214827537536621,0.6734681033935885,1.4439053535461426,0.11704699910719625,0.05972934624020759,0.05278640450004208,-1.0,0,0
10378780_15,4,1,15,12.165525060596439,0.21747667690118153,0.18838544189929962,0.8894759021109893,1.5747499465942383,0.12165525060596437,0.026404038244120076,0.16666666666666666,-1.0,0,0
10378780_15,5,1,17,13.0,0.2007556610247668,0.15326416492462158,0.8220722564288563,1.6202725172042847,0.13,0.01901333472452954,0.05278640450004208,-1.0,0,0
10378780_15,6,1,16,14.035668847618199,0.4503271805588156,0.021760990843176842,1.654975147164325,1.6661806106567383,0.14035668847618202,0.8484378480314048,0.0,-1.0,5,1
10378780_15,7,1,22,16.401219466856727,0.2214484763416377,0.1409517526626587,0.8408171861591671,1.664723515510559,0.16401219466856723,0.012081475980040723,0.0,-1.0,0,0
10378780_15,8,1,26,17.804493814764857,0.13690547530467695,0.046250417828559875,1.8498397548647096,2.131150245666504,0.17804493814764855,0.5406445710505576,0.0,-1.0,2,1
10378780_15,9,1,26,18.788294228055936,0.2450230190387139,0.22484244406223297,1.2419785908001018,1.410262107849121,0.18788294228055935,0.4973869312636951,0.14644660940672627,-1.0,0,0
10378780_15,10,0,23,21.02379604162864,0.3721422941788383,0.27443474531173706,0.711653680893193,1.0207109451293945,0.21023796041628637,0.15748147064414908,0.32322330470336313,-1.0,0,0
10378780_15,11,1,27,26.076809620810597,0.19137466505721765,0.09339718520641327,1.0850790479602792,1.700411081314087,0.260768096208106,0.016132140714454346,0.1077677297236319,-1.0,1,1
10828720_15,0,0,5,3.1622776601683795,0.23193932175636292,0.22482863068580627,1.574928694391653,1.4701619148254395,0.0316227766016838,1.0731440029645296,0.0,-1.0,0,0
10828720_15,1,0,4,3.1622776601683795,0.3207590952515602,0.30896061658859253,0.6149814420834501,1.1390374898910522,0.0316227766016838,0.44432117559071405,0.0,-1.0,0,0
10828720_15,2,0,6,4.123105625617661,0.2848323583602905,0.27242934703826904,0.614202779713888,1.2663906812667847,0.0412310562561766,0.2779855629819585,0.028595479208968284,-1.0,0,0
10828720_15,3,1,6,4.123105625617661,0.27671606341997784,0.25306957960128784,0.37304234435633155,1.2754175662994385,0.0412310562561766,0.0563937218007165,0.0,-1.0,0,0
10828720_15,4,0,6,5.0,0.26347144196430844,0.24205836653709412,0.4808635855599015,1.3494817018508911,0.05,0.05278640450004207,0.028595479208968284,-1.0,0,0
10828720_15,5,1,6,5.0,0.23566924035549164,0.22015893459320068,0.6961653247939539,1.448803186416626,0.05,0.1973621383773279,0.0,-1.0,0,0
10828720_15,6,1,7,5.0990195135927845,0.3707160694258554,0.3134104311466217,0.04540643394159982,0.9920305013656616,0.050990195135927854,0.002385737440010194,0.0,-1.0,0,0
10828720_15,7,0,8,5.830951894845301,0.19879445433616638,0.16123148798942566,0.854569207483858,1.6839320659637451,0.058309518948453,0.08666927159691667,0.02565835097474313,-1.0,0,0
10828720_15,8,0,8,6.082762530298219,0.20904245972633362,0.18897095322608948,0.7521820838332376,1.6470552682876587,0.060827625302982184,0.044299190242596764,0.0,-1.0,0,0
10828720_15,9,1,10,6.4031242374328485,0.3397186756134033,0.29710251092910767,0.1572224741480701,1.0717034339904785,0.06403124237432849,0.02148779778326315,0.0,-1.0,0,0
10828720_15,10,0,8,7.0,0.32448576390743256,0.27170222997665405,0.395959192601695,1.1618446111679077,0.07,0.16411458143378715,0.0,-1.0,0,0
10828720_15,11,0,8,7.0710678118654755,0.2302686758339405,0.2088218331336975,0.8674857397429627,1.5086381435394287,0.07071067811865475,0.14169030867815285,0.14644660940672627,-1.0,0,0
10828720_15,12,0,8,7.0710678118654755,0.2675964720547199,0.24435991048812866,0.6054040042644062,1.3495596647262573,0.07071067811865475,0.057811657669458894,0.12732200375003502,-1.0,0,0
10828720_15,13,0,10,8.06225774829855,0.2916221857070923,0.2416432797908783,0.7729120555149991,1.2378971576690674,0.08062257748298549,0.4543923203629462,0.0,-1.0,0,0
10828720_15,14,1,12,8.06225774829855,0.3073311547438304,0.1527041792869568,0.44012042399350415,1.1074541807174683,0.08062257748298549,0.25204366579305043,0.0,-1.0,1,1
10828720_15,15,0,12,8.06225774829855,0.18566919366518655,0.15926742553710938,0.8355753019600081,1.729081392288208,0.08062257748298549,0.025871332188814766,0.0,-1.0,0,0
10828720_15,16,0,11,8.246211251235321,0.25262467156757007,0.18790343403816223,0.8187725757496729,1.506326675415039,0.0824621125123532,0.12526849534332812,0.10471529247895256,-1.0,0,0
