image_id,query_index,original_success,full_success,supported_only_success,incremental_success,full_path_uses_supported_bridge,full_path_uses_unsupported_bridge,incremental_success_requires_unsupported_bridge
10378780_15,2,0,1,1,1,1,0,0
10378780_15,3,0,1,1,1,1,0,0
10378780_15,5,0,1,1,1,1,0,0
10378780_15,7,0,1,1,1,1,0,0
10378780_15,17,0,1,1,1,1,0,0
10828720_15,30,0,1,1,1,1,0,0
11128870_15,45,0,1,1,1,1,0,0
11728825_15,88,0,1,1,1,1,0,0
12328750_15,113,0,1,1,1,1,0,0
15928855_15,125,0,1,1,1,1,0,0
17878885_15,201,0,1,1,1,1,0,0
17878885_15,204,0,1,1,1,1,0,0
20278885_15,373,0,1,0,1,0,1,1
20728960_15,388,0,1,1,1,1,0,0
20728960_15,392,0,1,1,1,1,0,0
20728960_15,394,0,1,1,1,1,0,0
20728960_15,398,0,1,1,1,1,0,0
20728960_15,400,0,1,1,1,1,0,0
20728960_15,401,0,1,1,1,1,0,0
20728960_15,402,0,1,1,1,1,0,0
20878930_15,413,0,1,1,1,1,0,0
20878930_15,414,0,1,1,1,1,0,0
20878930_15,420,0,1,1,1,1,0,0
21479035_15,427,0,1,1,1,1,0,0
21479035_15,432,0,1,1,1,1,0,0
21479035_15,433,0,1,1,1,1,0,0
21479035_15,437,0,1,1,1,1,0,0
21479035_15,439,0,1,1,1,1,0,0
21479035_15,440,0,1,1,1,1,0,0
21479035_15,441,0,1,1,1,1,0,0
21479035_15,442,0,1,1,1,1,0,0
21479035_15,443,0,1,1,1,1,0,0
21479035_15,444,0,1,1,1,1,0,0
21479035_15,445,0,1,1,1,1,0,0
22529065_15,557,0,1,1,1,1,0,0
22529065_15,561,0,1,1,1,1,0,0
23278930_15,588,0,1,1,1,1,0,0
23278930_15,590,0,1,1,1,1,0,0
23278930_15,592,0,1,1,1,1,0,0
23278930_15,598,0,1,1,1,1,0,0
24029035_15,695,0,1,1,1,1,0,0
24479170_15,768,0,1,1,1,1,0,0
24628885_15,805,0,1,0,1,0,1,1
24628885_15,811,0,1,0,1,0,1,1
26578720_15,910,0,1,1,1,1,0,0
26578720_15,920,0,1,1,1,1,0,0
26578720_15,924,0,1,1,1,1,0,0
26878690_15,929,0,1,1,1,1,0,0
