condition,n,ece,brier,nll,auroc,std_mean
clean,49,0.014617417221697123,0.0178381497992325,0.06564588326159727,0.9377222846409362,0.007740773113292395
blur_light,49,0.010513058636349,0.01916921663223544,0.06944934820066008,0.9390957782752579,0.008798807274968344
blur_medium,49,0.019485685795623403,0.02605395495103638,0.09748487690818924,0.921004095816,0.009387959051421103
blur_heavy,49,0.037143861082285845,0.039895124488293014,0.16706121930809942,0.8800233916020435,0.00636521199889177
noise_light,49,0.01241771591711777,0.018512681587237522,0.0685077009619523,0.9287344736899683,0.01023601561936797
noise_medium,49,0.022466363772025818,0.028634312862983673,0.10575197572604136,0.923562635913471,0.017829214051669956
noise_heavy,49,0.02959954532804807,0.043670963360737766,0.1748674008173168,0.8244247138993842,0.013736987980652829
bc_light,49,0.011806340420031711,0.01759148158370113,0.06497725735064386,0.9323520117972468,0.008081967291441195
bc_medium,49,0.011689278303870017,0.02080840864940591,0.07709188747394322,0.9136745754685084,0.009050531189280505
bc_heavy,49,0.02659352087606148,0.036704618394756375,0.14062584839879316,0.8170774300019774,0.010060758999909977
shadow_light,49,0.0141208245379292,0.017889571233713306,0.0658097126250339,0.9381109685341512,0.007760897231269248
shadow_medium,49,0.012729946502746546,0.01947197384073934,0.07522312799273015,0.9231226436558809,0.008201055594586901
shadow_heavy,49,0.019857843332106037,0.02591892787573262,0.14457810409432648,0.7247326620108875,0.0057673863805260284
