condition,T,n_images,ece_before,ece_after,ece_rel_pct,nll_before,nll_after,brier_before,brier_after
clean,1.0,49,0.014617417221697123,0.014617417233067597,7.778716194753773e-08,0.06564588326159727,0.06564588332394393,0.0178381497992325,0.017838149815467323
blur_light,1.0,49,0.010513058636349,0.010513058639300011,2.806995628433945e-08,0.06944934820066008,0.06944934821167548,0.01916921663223544,0.019169216636681707
blur_medium,1.2,49,0.019485685795623403,0.017509624150007234,-10.141093653783559,0.09748487690818924,0.09227829057129147,0.02605395495103638,0.025320018579647892
blur_heavy,1.5,49,0.037143861082285845,0.028181029330478023,-24.130048655825544,0.16706121930809942,0.13558659582555332,0.039895124488293014,0.0367260379026043
noise_light,1.0,49,0.01241771591711777,0.01241771592369209,5.294306342572101e-08,0.0685077009619523,0.06850770102381099,0.018512681587237522,0.018512681598247087
noise_medium,1.2,49,0.022466363772025818,0.025628741098602695,14.076053244159334,0.10575197572604136,0.10417771451055918,0.028634312862983673,0.027867027819373825
noise_heavy,1.2,49,0.02959954532804807,0.028847556757980012,-2.5405409499837304,0.1748674008173168,0.16478277210569772,0.043670963360737766,0.042392819061150375
bc_light,0.9,49,0.011806340420031711,0.010991480040735732,-6.90188788655808,0.06497725735064386,0.0659597665944522,0.01759148158370113,0.017800619531673192
bc_medium,0.9,49,0.011689278303870017,0.01207861961681125,3.3307557816664572,0.07709188747394322,0.07845134685374341,0.02080840864940591,0.021103148230819418
bc_heavy,1.1,49,0.02659352087606148,0.02530123074278303,-4.859417221589945,0.14062584839879316,0.13671284341565998,0.036704618394756375,0.03610870712195839
shadow_light,1.0,49,0.0141208245379292,0.014120824550488012,8.893823158699864e-08,0.0658097126250339,0.06580971268342721,0.017889571233713306,0.01788957124921797
shadow_medium,1.1,49,0.012729946502746546,0.013093955570359585,2.8594705212194094,0.07522312799273015,0.07367632178665673,0.01947197384073934,0.019286936505029287
shadow_heavy,1.5,49,0.019857843332106037,0.016776862395487868,-15.515184026237423,0.14457810409432648,0.11951332109025353,0.02591892787573262,0.02562211790172437
