method,success,path_length,expanded_nodes,planning_time_ms,on_road_ratio,off_road_ratio,average_risk,max_risk,min_boundary_distance,relative_detour,query_index,image_id
Binary-mask A*,1,516.4091629284901,13642,137.8630999999997,0.7438524590163934,0.2561475409836066,nan,nan,nan,0.0004700821860076806,0,100712
Soft-probability A*,1,519.2375900532364,18347,207.19150000000042,1.0,0.0,nan,nan,nan,0.005949761713584038,0,100712
Clearance-aware A*,1,527.3797256769674,20311,211.05479999999943,1.0,0.0,nan,nan,nan,0.021724003693430045,0,100712
URA-style A*,1,526.0660171779825,18504,204.92779999999922,1.0,0.0,nan,nan,nan,0.01917887834651626,0,100712
GT Oracle A*,1,516.1665222413709,13485,141.0362000000003,1.0,0.0,nan,nan,nan,0.0,0,100712
Topology+Risk A*,1,527.9655121145943,20169,206.5406000000003,1.0,0.0,nan,nan,nan,0.02285888248232013,0,100712
Binary-mask A*,1,405.53910524340114,11523,117.4672000000001,0.7948051948051948,0.20519480519480515,nan,nan,nan,-0.0014423800402930543,1,100712
Soft-probability A*,1,406.7106781186551,14341,180.99419999999978,1.0,0.0,nan,nan,nan,0.0014423800402934741,1,100712
Clearance-aware A*,1,414.0243866176399,16217,196.07350000000068,1.0,0.0,nan,nan,nan,0.01945090069193826,1,100712
URA-style A*,1,412.7106781186551,14913,182.61630000000028,1.0,0.0,nan,nan,nan,0.016216160527288154,1,100712
GT Oracle A*,1,406.12489168102803,11263,111.83809999999994,1.0,0.0,nan,nan,nan,0.0,1,100712
Topology+Risk A*,1,414.6101730552668,16129,174.81919999999997,1.0,0.0,nan,nan,nan,0.020893280732231314,1,100712
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,2,100712
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,2,100712
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,2,100712
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,2,100712
GT Oracle A*,1,415.1665222413709,10621,111.48350000000029,1.0,0.0,nan,nan,nan,0.0,2,100712
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,2,100712
Binary-mask A*,1,91.76955262170041,1378,13.939999999999841,0.9512195121951219,0.04878048780487809,nan,nan,nan,0.0,3,100712
Soft-probability A*,1,91.76955262170043,1756,12.435299999999927,1.0,0.0,nan,nan,nan,1.5485369939399285e-16,3,100712
Clearance-aware A*,1,94.25483399593898,3063,28.130499999999614,1.0,0.0,nan,nan,nan,0.027081764084473506,3,100712
URA-style A*,1,95.76955262170043,2560,20.171300000001224,1.0,0.0,nan,nan,nan,0.043587441430483216,3,100712
GT Oracle A*,1,91.76955262170041,1417,19.05559999999973,1.0,0.0,nan,nan,nan,0.0,3,100712
Topology+Risk A*,1,94.84062043356589,3066,21.30340000000075,1.0,0.0,nan,nan,nan,0.03346499709468204,3,100712
Binary-mask A*,1,91.04163056034257,1402,11.998999999999427,1.0,0.0,nan,nan,nan,0.0,4,100712
Soft-probability A*,1,91.04163056034257,1737,12.104499999999518,1.0,0.0,nan,nan,nan,0.0,4,100712
Clearance-aware A*,1,91.04163056034258,1988,13.023800000000918,1.0,0.0,nan,nan,nan,1.5609182994347869e-16,4,100712
URA-style A*,1,91.04163056034257,1965,17.581800000000314,1.0,0.0,nan,nan,nan,0.0,4,100712
GT Oracle A*,1,91.04163056034257,1499,9.98150000000031,1.0,0.0,nan,nan,nan,0.0,4,100712
Topology+Risk A*,1,91.04163056034258,2027,21.232300000001203,1.0,0.0,nan,nan,nan,1.5609182994347869e-16,4,100712
Binary-mask A*,1,386.63961030678917,7485,91.31640000000019,0.9539295392953929,0.046070460704607075,nan,nan,nan,0.0045659661061079986,5,100712
Soft-probability A*,1,388.39696961967,9323,111.27409999999927,1.0,0.0,nan,nan,nan,0.009131932212216292,5,100712
Clearance-aware A*,1,391.56854249492386,10859,133.71449999999996,1.0,0.0,nan,nan,nan,0.017372304084558206,5,100712
URA-style A*,1,391.32590180780454,8448,105.1037000000008,1.0,0.0,nan,nan,nan,0.01674187572239619,5,100712
GT Oracle A*,1,384.88225099390843,7268,70.4653000000004,1.0,0.0,nan,nan,nan,0.0,5,100712
Topology+Risk A*,1,391.56854249492386,10771,111.20610000000042,1.0,0.0,nan,nan,nan,0.017372304084558206,5,100712
Binary-mask A*,1,623.154328932551,19265,198.45909999999913,0.9638157894736842,0.03618421052631582,nan,nan,nan,0.0003895266242358856,6,100712
Soft-probability A*,1,625.9827560572974,22331,197.65500000000102,1.0,0.0,nan,nan,nan,0.004930181709249968,6,100712
Clearance-aware A*,1,636.610173055267,29569,304.8563999999985,1.0,0.0,nan,nan,nan,0.021991054379506093,6,100712
URA-style A*,1,633.6396103067898,20125,177.66229999999973,1.0,0.0,nan,nan,nan,0.01722221988092025,6,100712
GT Oracle A*,1,622.9116882454317,19959,228.8486999999986,1.0,0.0,nan,nan,nan,0.0,6,100712
Topology+Risk A*,1,637.1959594928938,28172,289.96869999999933,1.0,0.0,nan,nan,nan,0.022931454838641625,6,100712
Binary-mask A*,1,473.0121933088199,10390,94.27950000000074,0.9913419913419913,0.008658008658008698,nan,nan,nan,0.0035150853553476513,7,100712
Soft-probability A*,1,474.6690475583124,12907,127.12650000000103,1.0,0.0,nan,nan,nan,0.007030170710695544,7,100712
