method,success,path_length,expanded_nodes,planning_time_ms,on_road_ratio,off_road_ratio,average_risk,max_risk,min_boundary_distance,relative_detour,query_index,image_id
Binary-mask A*,1,512.994949366117,13602,139.58829999999978,0.6577319587628866,0.3422680412371134,nan,nan,nan,-0.00614447613045854,0,100712
Soft-probability A*,1,516.4091629284902,18907,205.36959999999914,0.9918032786885246,0.008196721311475419,nan,nan,nan,0.00047008218600790084,0,100712
Clearance-aware A*,1,525.3797256769674,20371,264.31170000000037,1.0,0.0,nan,nan,nan,0.017849285140751892,0,100712
URA-style A*,1,523.2375900532364,19184,193.55799999999945,1.0,0.0,nan,nan,nan,0.013699198818940342,0,100712
GT Oracle A*,1,516.1665222413709,13485,144.89779999999897,1.0,0.0,nan,nan,nan,0.0,0,100712
Topology+Risk A*,1,525.9655121145943,20190,207.56749999999968,1.0,0.0,nan,nan,nan,0.018984163929641976,0,100712
Binary-mask A*,1,403.78174593052046,11524,109.06989999999972,0.725130890052356,0.274869109947644,nan,nan,nan,-0.005769520161172217,1,100712
Soft-probability A*,1,405.53910524340125,14832,149.99759999999895,0.9896103896103896,0.010389610389610393,nan,nan,nan,-0.0014423800402927744,1,100712
Clearance-aware A*,1,412.0243866176399,16003,161.30410000000063,1.0,0.0,nan,nan,nan,0.014526307196273366,1,100712
URA-style A*,1,409.8822509939089,14829,142.9690000000008,1.0,0.0,nan,nan,nan,0.009251733616544477,1,100712
GT Oracle A*,1,406.12489168102803,11263,100.53719999999977,1.0,0.0,nan,nan,nan,0.0,1,100712
Topology+Risk A*,1,412.61017305526684,15902,161.12929999999892,1.0,0.0,nan,nan,nan,0.01596868723656656,1,100712
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,2,100712
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,2,100712
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,2,100712
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,2,100712
GT Oracle A*,1,415.1665222413709,10621,96.40860000000018,1.0,0.0,nan,nan,nan,0.0,2,100712
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,2,100712
Binary-mask A*,1,91.76955262170041,1475,11.797500000000127,0.8536585365853658,0.14634146341463417,nan,nan,nan,0.0,3,100712
Soft-probability A*,1,91.76955262170043,1811,16.591399999999368,1.0,0.0,nan,nan,nan,1.5485369939399285e-16,3,100712
Clearance-aware A*,1,92.59797974644661,2936,28.006900000001167,1.0,0.0,nan,nan,nan,0.009027254694824606,3,100712
URA-style A*,1,91.76955262170043,2219,23.652500000000742,1.0,0.0,nan,nan,nan,1.5485369939399285e-16,3,100712
GT Oracle A*,1,91.76955262170041,1417,11.702500000000171,1.0,0.0,nan,nan,nan,0.0,3,100712
Topology+Risk A*,1,92.59797974644661,2936,27.386599999999817,1.0,0.0,nan,nan,nan,0.009027254694824606,3,100712
Binary-mask A*,1,91.04163056034257,1608,15.38670000000053,1.0,0.0,nan,nan,nan,0.0,4,100712
Soft-probability A*,1,91.0416305603426,1916,17.789900000000358,1.0,0.0,nan,nan,nan,3.1218365988695737e-16,4,100712
Clearance-aware A*,1,91.04163056034258,2181,18.165300000001494,1.0,0.0,nan,nan,nan,1.5609182994347869e-16,4,100712
URA-style A*,1,91.0416305603426,1885,18.15760000000033,1.0,0.0,nan,nan,nan,3.1218365988695737e-16,4,100712
GT Oracle A*,1,91.04163056034257,1499,12.738400000001704,1.0,0.0,nan,nan,nan,0.0,4,100712
Topology+Risk A*,1,91.04163056034258,2156,22.820199999999957,1.0,0.0,nan,nan,nan,1.5609182994347869e-16,4,100712
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,5,100712
