image_id,query_index,distance_class,variant,mask,score,boundary,success,off_road_ratio,path_length,expanded_nodes,planning_time_ms,safe_success_0.01,safe_success_0.05,safe_success_0.10
10378780_15,0,short,original+p+boundary_off,original,p,0,1,0.0,399.2031021678308,4920,140.68300000000102,1,1,1
10378780_15,0,short,original+p+boundary_on,original,p,1,1,0.0,399.2031021678308,4791,146.46310000000005,1,1,1
10378780_15,0,short,original+q+boundary_off,original,q,0,1,0.0,399.2031021678308,4918,139.30879999999846,1,1,1
10378780_15,0,short,original+q+boundary_on,original,q,1,1,0.0,399.2031021678308,4798,151.54650000000026,1,1,1
10378780_15,0,short,repaired+p+boundary_off,repaired,p,0,1,0.0,399.2031021678308,4920,147.34130000000079,1,1,1
10378780_15,0,short,repaired+p+boundary_on,repaired,p,1,1,0.0,399.2031021678308,4791,143.81759999999844,1,1,1
10378780_15,0,short,repaired+q+boundary_off,repaired,q,0,1,0.0,399.2031021678308,4918,145.05020000000002,1,1,1
10378780_15,0,short,repaired+q+boundary_on,repaired,q,1,1,0.0,399.2031021678308,4798,152.79150000000107,1,1,1
10378780_15,1,short,original+p+boundary_off,original,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,1,short,original+p+boundary_on,original,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,1,short,original+q+boundary_off,original,q,0,0,nan,nan,0,0.0,0,0,0
10378780_15,1,short,original+q+boundary_on,original,q,1,0,nan,nan,0,0.0,0,0,0
10378780_15,1,short,repaired+p+boundary_off,repaired,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,1,short,repaired+p+boundary_on,repaired,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,1,short,repaired+q+boundary_off,repaired,q,0,0,nan,nan,0,0.0,0,0,0
10378780_15,1,short,repaired+q+boundary_on,repaired,q,1,0,nan,nan,0,0.0,0,0,0
10378780_15,2,short,original+p+boundary_off,original,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,2,short,original+p+boundary_on,original,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,2,short,original+q+boundary_off,original,q,0,0,nan,nan,0,0.0,0,0,0
10378780_15,2,short,original+q+boundary_on,original,q,1,0,nan,nan,0,0.0,0,0,0
10378780_15,2,short,repaired+p+boundary_off,repaired,p,0,1,0.006363027461486981,3511.4654377760853,55041,1679.3253999999997,1,1,1
10378780_15,2,short,repaired+p+boundary_on,repaired,p,1,1,0.0060301507537688925,3512.5365055879506,47746,1527.389600000001,1,1,1
10378780_15,2,short,repaired+q+boundary_off,repaired,q,0,1,0.009045226130653283,3510.8796513384586,53798,1368.1414000000007,1,1,1
10378780_15,2,short,repaired+q+boundary_on,repaired,q,1,1,0.006365159128978171,3512.5365055879506,47329,1222.6769999999992,1,1,1
10378780_15,3,short,original+p+boundary_off,original,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,3,short,original+p+boundary_on,original,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,3,short,original+q+boundary_off,original,q,0,0,nan,nan,0,0.0,0,0,0
10378780_15,3,short,original+q+boundary_on,original,q,1,0,nan,nan,0,0.0,0,0,0
10378780_15,3,short,repaired+p+boundary_off,repaired,p,0,1,0.005985463873450225,2697.1231585774235,49283,1203.2877999999982,1,1,1
10378780_15,3,short,repaired+p+boundary_on,repaired,p,1,1,0.00641573994867406,2698.194226389289,45212,1158.5964000000004,1,1,1
10378780_15,3,short,repaired+q+boundary_off,repaired,q,0,1,0.008126603934987209,2696.5373721397964,48945,1142.5382000000006,1,1,1
10378780_15,3,short,repaired+q+boundary_on,repaired,q,1,1,0.006843455945252375,2698.194226389289,44873,1155.805800000003,1,1,1
10378780_15,4,short,original+p+boundary_off,original,p,0,1,0.0,525.6000717875014,6805,160.4075999999992,1,1,1
10378780_15,4,short,original+p+boundary_on,original,p,1,1,0.0,525.6000717875014,6415,164.03259999999875,1,1,1
10378780_15,4,short,original+q+boundary_off,original,q,0,1,0.0,525.6000717875014,6778,161.3824000000008,1,1,1
10378780_15,4,short,original+q+boundary_on,original,q,1,1,0.0,525.6000717875014,6453,170.73480000000174,1,1,1
10378780_15,4,short,repaired+p+boundary_off,repaired,p,0,1,0.0,525.6000717875014,6805,162.93369999999996,1,1,1
10378780_15,4,short,repaired+p+boundary_on,repaired,p,1,1,0.0,525.6000717875014,6415,159.1149999999999,1,1,1
10378780_15,4,short,repaired+q+boundary_off,repaired,q,0,1,0.0,525.6000717875014,6778,155.21389999999968,1,1,1
10378780_15,4,short,repaired+q+boundary_on,repaired,q,1,1,0.0,525.6000717875014,6453,164.26449999999804,1,1,1
10378780_15,5,short,original+p+boundary_off,original,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,5,short,original+p+boundary_on,original,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,5,short,original+q+boundary_off,original,q,0,0,nan,nan,0,0.0,0,0,0
10378780_15,5,short,original+q+boundary_on,original,q,1,0,nan,nan,0,0.0,0,0,0
10378780_15,5,short,repaired+p+boundary_off,repaired,p,0,1,0.006224066390041472,2788.4196231336946,55797,1328.5739999999996,1,1,1
