method,success,path_length,expanded_nodes,planning_time_ms,on_road_ratio,off_road_ratio,average_risk,max_risk,min_boundary_distance,relative_detour,query_index,image_id
Binary-mask A*,1,399.20310216783076,4805,29.95129999999957,0.9910714285714286,0.008928571428571397,nan,nan,nan,0.0,0,10378780_15
Soft-probability A*,1,399.2031021678308,4867,31.31960000000067,1.0,0.0,nan,nan,nan,1.4239222729514315e-16,0,10378780_15
Clearance-aware A*,1,399.2031021678308,4790,30.007400000000573,1.0,0.0,nan,nan,nan,1.4239222729514315e-16,0,10378780_15
URA-style A*,1,399.2031021678308,4834,31.190000000000495,1.0,0.0,nan,nan,nan,1.4239222729514315e-16,0,10378780_15
GT Oracle A*,1,399.20310216783076,3691,22.789399999999738,1.0,0.0,nan,nan,nan,0.0,0,10378780_15
Topology+Risk A*,1,399.2031021678308,4798,31.233400000000522,1.0,0.0,nan,nan,nan,1.4239222729514315e-16,0,10378780_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,1,10378780_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,1,10378780_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,1,10378780_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,1,10378780_15
GT Oracle A*,1,1855.4814562296378,20817,128.16269999999986,1.0,0.0,nan,nan,nan,0.0,1,10378780_15
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,1,10378780_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,2,10378780_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,2,10378780_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,2,10378780_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,2,10378780_15
GT Oracle A*,1,840.212336883823,11177,70.11130000000065,1.0,0.0,nan,nan,nan,0.0,2,10378780_15
Topology+Risk A*,1,3512.5365055879506,47329,310.3847000000002,0.9936348408710218,0.006365159128978171,nan,nan,nan,3.1805343142368456,2,10378780_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,3,10378780_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,3,10378780_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,3,10378780_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,3,10378780_15
GT Oracle A*,1,242.6639969244292,2519,15.676100000000304,1.0,0.0,nan,nan,nan,0.0,3,10378780_15
Topology+Risk A*,1,2698.194226389289,44873,292.79350000000017,0.9931565440547476,0.006843455945252375,nan,nan,nan,10.119054579940693,3,10378780_15
Binary-mask A*,1,525.6000717875013,6946,43.48960000000002,0.9707865168539326,0.02921348314606742,nan,nan,nan,0.0,4,10378780_15
Soft-probability A*,1,525.6000717875014,6810,43.27930000000002,1.0,0.0,nan,nan,nan,2.1629912898409824e-16,4,10378780_15
Clearance-aware A*,1,525.6000717875014,6418,40.757000000000154,1.0,0.0,nan,nan,nan,2.1629912898409824e-16,4,10378780_15
URA-style A*,1,525.6000717875014,6537,40.7327000000004,1.0,0.0,nan,nan,nan,2.1629912898409824e-16,4,10378780_15
GT Oracle A*,1,525.6000717875013,5239,32.154499999999864,1.0,0.0,nan,nan,nan,0.0,4,10378780_15
Topology+Risk A*,1,525.6000717875014,6453,40.55600000000048,1.0,0.0,nan,nan,nan,2.1629912898409824e-16,4,10378780_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,5,10378780_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,5,10378780_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,5,10378780_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,5,10378780_15
GT Oracle A*,1,469.499566724113,6106,38.04119999999944,1.0,0.0,nan,nan,nan,0.0,5,10378780_15
Topology+Risk A*,1,2790.9049045079328,50157,326.87880000000024,0.995850622406639,0.004149377593360981,nan,nan,nan,4.944424877707976,5,10378780_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,6,10378780_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,6,10378780_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,6,10378780_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,6,10378780_15
GT Oracle A*,1,1286.6143571373761,18671,115.45249999999996,1.0,0.0,nan,nan,nan,0.0,6,10378780_15
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,6,10378780_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,7,10378780_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,7,10378780_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,7,10378780_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,7,10378780_15
GT Oracle A*,1,1333.734198184522,17311,108.25429999999957,1.0,0.0,nan,nan,nan,0.0,7,10378780_15
Topology+Risk A*,1,3422.002450978441,64104,415.65839999999986,0.9949066213921901,0.005093378607809895,nan,nan,nan,1.5657304548660957,7,10378780_15
Binary-mask A*,1,1044.3250352560312,9277,59.560399999999625,0.8234610917537747,0.1765389082462253,nan,nan,nan,-0.002932097802226072,8,10378780_15
Soft-probability A*,1,1046.8103166302699,13485,88.61489999999961,0.9767711962833914,0.023228803716608626,nan,nan,nan,-0.0005592788018888784,8,10378780_15
Clearance-aware A*,1,1048.4671708797625,14421,92.16099999999905,0.9907084785133565,0.009291521486643473,nan,nan,nan,0.0010226005316694676,8,10378780_15
URA-style A*,1,1049.8813844421354,15623,101.4280000000003,0.9802784222737819,0.019721577726218076,nan,nan,nan,0.0023728190003371934,8,10378780_15
GT Oracle A*,1,1047.3961030678968,12403,76.97209999999987,1.0,0.0,nan,nan,nan,0.0,8,10378780_15
Topology+Risk A*,1,1050.4671708797625,14562,93.20569999999861,0.9918887601390498,0.008111239860950192,nan,nan,nan,0.002932097802226289,8,10378780_15
Binary-mask A*,1,1436.060099992327,16872,107.25080000000098,0.6887417218543046,0.3112582781456954,nan,nan,nan,-0.0029456589696676564,9,10378780_15
