image_id,query_index,method,success,expanded_nodes,off_reference_r0,routeconform_0.05_r0,off_reference_r1,routeconform_0.05_r1,off_reference_r2,routeconform_0.05_r2,off_reference_r3,routeconform_0.05_r3
10378780_15,0,Soft-probability A*,1,4867,0.0,1,0.0,1,0.0,1,0.0,1
10378780_15,0,Topology+Risk A*,1,4798,0.0,1,0.0,1,0.0,1,0.0,1
10378780_15,1,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10378780_15,1,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
10378780_15,2,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10378780_15,2,Topology+Risk A*,1,47329,0.006365159128978171,1,0.0016750418760469454,1,0.0010050251256281673,1,0.0003350083752093891,1
10378780_15,3,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10378780_15,3,Topology+Risk A*,1,44873,0.006843455945252375,1,0.002138579982891353,1,0.0012831479897348341,1,0.00042771599657831505,1
10378780_15,4,Soft-probability A*,1,6810,0.0,1,0.0,1,0.0,1,0.0,1
10378780_15,4,Topology+Risk A*,1,6453,0.0,1,0.0,1,0.0,1,0.0,1
10378780_15,5,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10378780_15,5,Topology+Risk A*,1,50157,0.004149377593360981,1,0.0020746887966804906,1,0.0012448132780082943,1,0.0004149377593360981,1
10378780_15,6,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10378780_15,6,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
10378780_15,7,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10378780_15,7,Topology+Risk A*,1,64104,0.005093378607809895,1,0.001697792869269965,1,0.0010186757215620013,1,0.0003395585738540374,1
10378780_15,8,Soft-probability A*,1,13485,0.023228803716608626,1,0.0,1,0.0,1,0.0,1
10378780_15,8,Topology+Risk A*,1,14562,0.008111239860950192,1,0.0,1,0.0,1,0.0,1
10378780_15,9,Soft-probability A*,1,24685,0.023159636062861866,1,0.0,1,0.0,1,0.0,1
10378780_15,9,Topology+Risk A*,1,27348,0.005785123966942196,1,0.0,1,0.0,1,0.0,1
10378780_15,10,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10378780_15,10,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
10378780_15,11,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10378780_15,11,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
10378780_15,12,Soft-probability A*,1,14027,0.0,1,0.0,1,0.0,1,0.0,1
10378780_15,12,Topology+Risk A*,1,12906,0.0,1,0.0,1,0.0,1,0.0,1
10378780_15,13,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10378780_15,13,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
10378780_15,14,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10378780_15,14,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
10378780_15,15,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10378780_15,15,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
10378780_15,16,Soft-probability A*,1,37753,0.01589103291713967,1,0.0,1,0.0,1,0.0,1
10378780_15,16,Topology+Risk A*,1,48143,0.003970504821327325,1,0.0,1,0.0,1,0.0,1
10378780_15,17,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10378780_15,17,Topology+Risk A*,1,65609,0.006013071895424882,1,0.0013071895424836555,1,0.0007843137254901489,1,0.0002614379084967533,1
10378780_15,18,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10378780_15,18,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
10378780_15,19,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10378780_15,19,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,20,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,20,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,21,Soft-probability A*,1,909,0.0,1,0.0,1,0.0,1,0.0,1
10828720_15,21,Topology+Risk A*,1,1255,0.0,1,0.0,1,0.0,1,0.0,1
10828720_15,22,Soft-probability A*,1,58206,0.027348394768133222,1,0.005945303210463715,1,0.0,1,0.0,1
10828720_15,22,Topology+Risk A*,1,59567,0.007001166861143493,1,0.0,1,0.0,1,0.0,1
10828720_15,23,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,23,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
10828720_15,24,Soft-probability A*,1,10415,0.05187319884726227,0,0.025936599423631135,1,0.014409221902017322,1,0.0057636887608069065,1
10828720_15,24,Topology+Risk A*,1,11312,0.025787965616045794,1,0.014326647564469885,1,0.005730659025787954,1,0.0,1
10828720_15,25,Soft-probability A*,1,23614,0.03710575139146566,1,0.011131725417439675,1,0.0018552875695733162,1,0.0,1
